[run number],birth-rate-forest,birth-rate-birds,birds-behavior,world-width,world-height,death-rate-birds,death-rate-forest,random-seed,[step],habitat-proportion,birds-proportion,siminputrow
1,2.5,1.9,AdultSelection,101,101,1,1,4578,901,0.5407313008528576,0.30702872267424763,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,902,0.5409273600627389,0.30428389373590825,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,903,0.5413194784825017,0.30467601215567103,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,904,0.5444564258406038,0.3084011371434173,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,905,0.5551416527791393,0.31026369963729045,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,906,0.5600431330261739,0.31085187726693464,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,907,0.5533771198902069,0.30898931477306146,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,908,0.5507303205568082,0.3073228114890697,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,909,0.5533771198902069,0.3025193608469758,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,910,0.5476914028036467,0.2964415253406529,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,911,0.5478874620135281,0.30300950887167927,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,912,0.5458288403097735,0.30761690030389177,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,913,0.5394569159886285,0.3036957161062641,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,914,0.5375943534947554,0.3050681305754338,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,915,0.54249583374179,0.312322321341045,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,916,0.5498480541123419,0.3176159200078424,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,917,0.5462209587295364,0.31771394961278304,1
1,2.5,1.9,AdultSelection,101,101,1,1,4578,918,0.5551416527791393,0.32281148906969903,1
