[run number],birth-rate-forest,birth-rate-birds,birds-behavior,world-width,world-height,death-rate-birds,death-rate-forest,random-seed,[step],habitat-proportion,birds-proportion,siminputrow
1,2.5,1.9,AdultSelection,101,101,1,1,4157,901,0.5405352416429762,0.3063425154396628,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,902,0.5443583962356632,0.30300950887167927,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,903,0.538672679149103,0.2961474365258308,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,904,0.5422017449269679,0.29781393980982257,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,905,0.5448485442603667,0.3054602489951965,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,906,0.5498480541123419,0.30408783452602683,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,907,0.5480835212234094,0.29948044309381433,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,908,0.5509263797666896,0.3100676404274091,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,909,0.548867758062935,0.3087932555631801,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,910,0.5452406626801294,0.3013430055876875,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,911,0.545044603470248,0.3053622193902559,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,912,0.5395549455935693,0.302127242427213,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,913,0.5374963238898147,0.2999705911185178,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,914,0.5380845015194589,0.30173512400745023,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,915,0.5445544554455446,0.30330359768650134,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,916,0.5429859817664935,0.30379374571120477,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,917,0.538672679149103,0.300852857562984,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,918,0.5342613469267719,0.30095088716792473,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,919,0.5300460739143221,0.3035976865013234,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,920,0.5334771100872463,0.2987942358592295,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,921,0.5373002646799333,0.2895794529948044,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,922,0.5344574061366533,0.28428585432800707,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,923,0.5283795706303304,0.2820311734143711,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,924,0.5343593765317126,0.28193314380943046,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,925,0.5333790804823056,0.27850210763650624,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,926,0.5321046956180766,0.27761984119204,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,927,0.5394569159886285,0.28046269973532006,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,928,0.5441623370257818,0.2769336339574551,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,929,0.5480835212234094,0.2798745221056759,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,930,0.5468091363591805,0.28369767669836293,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,931,0.546318988334477,0.28703068326634645,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,932,0.548867758062935,0.2876188608959906,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,933,0.5533771198902069,0.2984021174394667,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,934,0.5515145573963337,0.2993824134888736,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,935,0.538672679149103,0.2965395549455936,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,936,0.5467111067542397,0.3012449759827468,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,937,0.5499460837172826,0.30614645622978137,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,938,0.5490638172728164,0.3039898049210862,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,939,0.5468091363591805,0.30291147926673856,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,940,0.5480835212234094,0.3035976865013234,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,941,0.5484756396431723,0.3074208410940104,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,942,0.5525928830506813,0.3049701009704931,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,943,0.5432800705813156,0.3086952259582394,1
1,2.5,1.9,AdultSelection,101,101,1,1,4157,944,0.5471032251740026,0.3077149299088325,1
